path1,path2,output 0,output 1,output 2,output 3,flag,username,timestamp
E:\UIED-master\flagged\path1\tmprbp526os.png,E:\UIED-master\flagged\path2\tmpv1glrlhe.png,,,,,,,2023-02-02 14:39:23.039664
E:\UIED-master\flagged\path1\tmp1j4u7gxt.png,E:\UIED-master\flagged\path2\tmpgmux3u28.png,,,,,,,2023-02-02 14:39:23.674839
